block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467282,1524124226,1524124238,12,256,11.225148588812006,4.0,1.0,50.0
5467283,1524124228,1524124242,14,103,6.505390140913333,4.0,3.0,22.210498765432078
5467284,1524124233,1524124258,25,379,1.032186459489456,1.0,1.0,1.0
5467285,1524124255,1524124286,31,286,9.067287840096828,3.0,1.0,50.0
5467286,1524124286,1524124306,20,177,31.716044636418108,20.397903867003976,5.0,55.0
5467287,1524124305,1524124309,4,55,24.86362734699965,20.0,7.451797402597407,59.286274427131055
5467288,1524124309,1524124312,3,28,51.407650015326595,50.0,41.0,55.0
5467289,1524124311,1524124339,28,210,8.773018315668928,4.991534573341968,4.0,20.04126514380715
5467290,1524124337,1524124343,6,212,17.09178055099094,10.653699220633131,3.0,55.0
5467291,1524124342,1524124351,9,227,11.015171506558698,3.0,1.0,55.0
5467292,1524124348,1524124364,16,180,18.014576541458524,14.179753473905663,3.0,50.0
5467293,1524124363,1524124409,46,5,4.0,4.0,4.0,4.0
5467294,1524124410,1524124423,13,215,33.424550396607124,20.0,17.0,55.0
5467295,1524124421,1524124436,15,248,6.7125562641041325,5.0,1.0,20.0
5467296,1524124436,1524124442,6,102,17.79781484725898,11.042641147347384,4.0,55.0
5467297,1524124443,1524124457,14,66,3.6664741703963957,3.8807754356498005,0.29148861218555094,5.0
5467298,1524124456,1524124466,10,125,16.80297050288619,4.0,3.0,52.48787821575375
5467299,1524124465,1524124473,8,115,21.100891625985565,4.0,4.0,90.60119939505731
5467300,1524124471,1524124530,59,123,5.940789816745437,4.0,3.0,11.352930849053676
5467301,1524124529,1524124534,5,173,18.024577620158794,5.370299924356114,3.0,60.467144723902926
5467302,1524124534,1524124540,6,378,1.0445127444226592,1.0,1.0,1.0
5467303,1524124540,1524124554,14,187,27.833643576050395,20.0,3.0,55.0
5467304,1524124554,1524124578,24,165,13.683980548226227,4.0,1.0,50.0
5467305,1524124578,1524124592,14,63,31.56986527053824,20.0,18.16846544600939,50.0
5467306,1524124592,1524124639,47,200,11.688649164228627,5.0,4.0,55.0
5467307,1524124638,1524124657,19,152,17.756275231616822,5.0,1.0,55.60357265882584
5467308,1524124657,1524124670,13,166,9.288428936345266,4.0,3.0,48.76177230024274
5467309,1524124671,1524124692,21,105,11.728520912957018,4.0,3.0,29.476201842422018
5467310,1524124692,1524124704,12,203,20.087649465401583,8.027104722571067,4.0,55.0
5467311,1524124703,1524124710,7,101,20.43123817362949,8.0,4.0,57.52763149672993
5467312,1524124708,1524124720,12,61,25.3205070705761,7.9732051266678745,4.0,55.0
5467313,1524124719,1524124744,25,97,16.69384372945174,9.232959559008696,3.0,48.68774445037856
